N,Навык
1,Натуральные и целые числа
2,Научная форма числа
3,Делимость чисел
4,"Признаки делимости на 2, 3, 5, 9, 10"
5,Нахождение НОД и НОК
6,Обыкновенные и десятичные дроби
7,Нахождение доли от числа
8,Вычисление процентов
9,Повышение/понижение на процент
10,Бесконечные периодические дроби
11,Определение рациональных чисел
12,Расположение на координатной прямой
13,Сравнение и упорядочивание рациональных чисел
14,Преобразование дробей
15,Арифметические действия с  обыкновенными дробями
16,Арифметические действия с десятичными дробями
17,"Раскрытие скобок, распределительное свойство"
18,Классификация действительныех чисел
19,Приближённое значение корня числа
20,Арифметические действия с рациональными числами
21,Понятие точности и погрешности
22,Округление чисел
23,Приближённые вычисления
24,Чтение и анализ графических схем: Графики
25,Чтение и анализ графических схем: Диаграммы
26,Чтение и анализ графических схем: План помещения
27,Чтение и анализ графических схем: Схема маршрута / карта
28,Чтение и анализ графических схем: Таблицы и расписания
29,Чтение и анализ графических схем: Тарифные планы
30,"Чтение и анализ графических схем: Линейка, шкала, измерения"
31,Чтение и анализ графических схем: Графики движения
32,Прикладная геометрия: Путешествия
33,Прикладная геометрия: Квартиры и садовые участки
34,"Прикладная геометрия: Шины, теплицы, бумага, печки"
35,Выражения с переменными
36,Подстановка значений
37,Упрощение выражений
38,Раскрытие скобок
39,Определение степени с целым показателем
40,Определение степени с рациональным показателем (Корни)
41,Умножение и деление степеней при одном основании
42,Возведение степени в степень
43,Степень произведения и частного
44,Отрицательные степени
45,Определение одночлена и многочлена
46,Приведение подобных членов многочленов
47,Сложение и вычитание многочленов
48,Умножение многочленов
49,Разложение многочленов на множители (факторизация)
50,Определение и сокращение алгебраических дробей
51,Основное свойство алгебраической дроби
52,Арифметические действия с алгебраическими дробями
53,Преобразование выражений с алгебраическими дробями
54,Определение корней
55,Свойства корней
56,Арифметика с корнями
57,Рационализация знаменателя
58,Решение линейных уравнений
59,Решение уравнений с дробями и скобками
60,Решение квадратных уравнений
61,Решение систем линейных уравнений
62,Рациональные уравнения
63,Решение линейных неравенств
64,Графическое представление решений
65,Решение систем неравенств
66,Квадратные неравенства
67,Рациональные неравенства
68,Метод интервалов
69,Перевод текставой задачи в уравнение
70,"Текстовые задачи: Задачи на проценты, сплавы и смеси"
71,Текстовые задачи: Движение по прямой
72,Текстовые задачи: Задачи на движение по воде
73,Текстовые задачи: Задачи на совместную работу
74,Текстовые задачи: Задачи про бизнес
75,Разные текстовые задачи
76,Запись последовательностей
77,Способы задания последовательностей
78,Правило n-го члена последовательностей
79,Определение следующего члена последовательностей
80,Арифметическая прогрессия
81,Сумма первых n членов  АП
82,Определение разности и первого члена  АП
83,Текстовые задачи на АП
84,Геометрическая прогрессия
85,Сумма первых n членов  ГП
86,Определение разности и первого члена  ГП
87,Текстовые задачи на ГП
88,Сложные проценты
89,Определение функции
90,Область определения и множество значений
91,Нули функции
92,Построение графиков функции
93,Линейные функции
94,Квадратичные функции (Параболы)
95,Гиперболы
96,Промежутки знакопостоянства функции
97,Промежутки монотонности функции
98,Чтение графиков функции
99,Максимумы и минимумы функции
100,Наибольшее и наименьшее значение функции на промежутке
101,Кусочно-непрерывные функции
102,Растяжения и сдвиги
103,Расположение чисел на прямой (Отметка точек)
104,Расстояние между точками на координатной прямой
105,Модули
106,Интервалы
107,Неравенства
108,Сравнение и упорядочивание чисел на координатной прямой
109,Выбор верного или неверного утверждения о числах на координатной прямой
110,Построение точек по координатам на плоскости
111,Расстояние между точками на плоскости
112,"Точки, прямые, отрезки, лучи"
113,Углы и их виды
114,Измерение углов
115,Параллельные и перпендикулярные прямые
116,Серединный перпендикуляр
117,Виды треугольников
118,"Элементы треугольника (сторона, угол, высота, медиана, биссектриса)"
119,Свойства углов треугольника
120,Признаки равенства треугольников
121,Признаки подобия треугольников
122,Неравенство треугольника
123,Прямоугольный треугольник: Теорема Пифагора
124,Прямоугольный треугольник:  Тригонометрия
125,Виды многоугольников
126,Элементы многоугольников
127,Углы многоугольников
128,Правильные многоугольники
129,Деление многоугольников на треугольники
130,Прямоугольник
131,Ромб
132,Квадрат
133,Параллелограмм
134,Трапеция
135,"Элементы окружности и круга (Касательная, хорда, секущая, радиус)"
136,Центральные и вписанные углы
137,Вписанные  фигуры
138,Описанные фигуры
139,"Длина отрезка, длина ломаной"
140,Периметр многоугольника
141,Расстояние от точки до прямой
142,Длина окружности
143,Градусная мера угла
144,Ссоответствие между величиной угла и длиной дуги окружности
145,Площадь и её свойства
146,Площадь прямоугольника
147,Площадь параллелограмма
148,Площадь трапеции
149,Площадь треугольника
150,Площадь круга и его частей
151,Пропорциональное деление площади
152,"Формулы объёма прямоугольного параллелепипеда, куба, шара"
153,Фигуры на квадратной решётке
154,Направление и длина вектора
155,Координаты вектора
156,Сложение и вычитание векторов
157,Умножение вектора на число
158,Анализ геометрических высказываний
159,Работа с чертежами
160,Задачи на доказательство
161,Геометрические задачи повышенной сложности
162,Сбор данных
163,Таблицы и диаграммы в статистике
164,Среднее арифметическое
165,Мода и медиана
166,Определение событий
167,Нахождение вероятности простых событий
168,Применение формул вероятности
169,Перестановки
170,Размещения
171,Сочетания
172,Подсчёт с использованием формул комбинаторики
173,Операции с множествами
174,Диаграммы Эйлера–Венна
175,Вершины и рёбра
176,Связность графа
177,Поиск путей
178,Решение прикладных задач с графами
179,Разложение многочленов на множители (факторизация) квадратичный случай
180,порядок математических операций
181,Чтение условия и извлечение данных из текста
182,Стратегии решения задачи с краткой записью
183,Анализ ошибочных решений
184,Составление и опровержение утверждений
185,Работа с необходимыми и достаточными условиями
186,Симметрия графика функции
187,Параметрические преобразования графиков
188,Методы подстановки / перебора / отбора значений
189,"Использование свойств четности/нечетности, делимости и т.п."
190,Применение формул с параметрами
191,Уравнения с модулями
192,Единицы измерения: Перевод между величинами
193,Пропорции в текстовых задачах (прямая и обратная пропорциональность)
194,Выражение одной переменной из формулы
